Codigo_Mat;Material;Grupo ;Ing1;Ing2;Ing3;Almacen;Total;Unidad_Med
1000155;SOLDADURA LIQUIDA PARA PVC 1/4 DE GALON;3700;0;0;0;0;0;UN
1000156;TUBERIA ALCANTARILLADO NOVAFORT 160MM;1000;0;0;0;0;0;M
1000157;TUBERIA ALCANTARILLADO NOVAFORT 200MM;1000;0;0;0;0;0;M
1000158;TUBERIA ALCANTARILLADO NOVAFORT 250MM;1000;0;0;0;0;0;M
1000159;TUBERIA ALCANTARILLADO NOVAFORT 315MM;1000;0;0;0;0;0;M
1000160;TUBERIA ALCANTARILLADO NOVAFORT 355MM;1000;0;0;0;0;0;M
1000161;TUBERIA ALCANTARILLADO NOVAFORT 400MM;1000;0;0;0;0;0;M
1000162;TUBERIA ALCANTARILLADO NOVAFORT 450MM;1000;0;0;0;0;0;M
1000163;TUBERIA ALCANTARILLADO NOVAFORT 500MM;1000;0;0;0;0;0;M
1000164;"TUBERIA NOVAFORT 6.5M 24""";1000;0;0;0;0;0;M
1000165;"TUBERIA NOVAFORT 6.5M 27""";1000;0;0;0;0;0;M
1000166;"TUBERIA NOVAFORT 6.5M 30""";1000;0;0;0;0;0;M
1000167;"TUBERIA NOVAFORT 6.5M 33""";1000;0;0;0;0;0;M
1000168;"TUBERIA NOVAFORT 6.5M 36""";1000;0;0;0;0;0;M
1000169;UNION ALCANTARILLADO NOVAFORT 160MM;1300;0;0;0;0;0;UN
1000170;UNION ALCANTARILLADO NOVAFORT 200MM;1300;0;0;0;0;0;UN
1000171;UNION ALCANTARILLADO NOVAFORT 250MM;1300;0;0;0;0;0;UN
1000172;UNION ALCANTARILLADO NOVAFORT 315MM;1300;0;0;0;0;0;UN
1000173;UNION ALCANTARILLADO NOVAFORT 355MM;1300;0;0;0;0;0;UN
1000174;UNION ALCANTARILLADO NOVAFORT 400MM;1300;0;0;0;0;0;UN
1000175;UNION ALCANTARILLADO NOVAFORT 450MM;1300;0;0;0;0;0;UN
1000176;UNION ALCANTARILLADO NOVAFORT 500MM;1300;0;0;0;0;0;UN
1000177;"UNION ALCANTARILLADO NOVAFORT 24""";1300;0;0;0;0;0;UN
1000178;CODO NOVAFORT 90  160MM;1300;0;0;0;0;0;UN
1000179;CODO NOVAFORT 45  160MM;1300;0;0;0;0;0;UN
1000180;TEE NOVAFORT 160MM X 160MM;1300;0;0;0;0;0;UN
1000181;TEE NOVAFORT 200MM X 160MM;1300;0;0;0;0;0;UN
